Doença,Medicamentos,Tratamentos
Psoríase,"Corticosteroides tópicos, Calcipotriol, Fototerapia","Cuidados com a pele, evitar gatilhos como estresse, banhos mornos"
Artrite Psoriática,"Metotrexato, Anti-TNF (etanercepte), Sulfassalazina","Fisioterapia, exercícios de baixo impacto, controle de estresse"
Depressão,"Antidepressivos (fluoxetina, sertralina), Ansiolíticos (alprazolam)","Terapia cognitivo-comportamental, atividade física, técnicas de relaxamento"
Ansiedade,"Ansiolíticos (diazepam, lorazepam), Antidepressivos (sertralina)","Terapia cognitivo-comportamental, técnicas de respiração, meditação"
Esquizofrenia,"Antipsicóticos (clozapina, risperidona)","Terapia ocupacional, reabilitação psicossocial, suporte familiar"
Transtorno Bipolar,"Estabilizadores de humor (lítio, lamotrigina), Antipsicóticos","Terapia psicoterapêutica, rotina regular de sono, evitar estresse"
Fibromialgia,"Antidepressivos (amitriptilina), Analgésicos (ibuprofeno), Pregabalina","Exercícios físicos, fisioterapia, controle do estresse"
Doença Celíaca,Nenhum medicamento específico,"Dieta sem glúten rigorosa, monitoramento contínuo dos sintomas"
Hepatite,"Antivirais (sofosbuvir), Corticoides","Dieta balanceada, evitar álcool, repouso"
Doença de Crohn,"Corticosteroides, Imunossupressores (azatioprina), Biológicos (infliximabe)","Dieta com baixo teor de fibras, manejo do estresse, repouso"
Colite Ulcerativa,"Aminossalicilatos (mesalazina), Imunossupressores (azatioprina), Biológicos","Mudanças na dieta, evitar alimentos irritantes, repouso"
Síndrome do Intestino Irritável (SII),"Antiespasmódicos (hioscina), Laxantes","Controle dietético, aumento de fibras, redução do estresse"
Diabetes tipo 1,"Insulina, Analogs de insulina","Controle glicêmico rigoroso, dieta balanceada, monitoramento constante de glicose"
Síndrome de Down,Não há medicação específica,"Terapias de desenvolvimento, fisioterapia, apoio educacional e social"
Síndrome de Turner,"Hormônio de crescimento, Estrogênio","Monitoramento de desenvolvimento, tratamento hormonal"
Síndrome de Klinefelter,Terapia com testosterona,"Acompanhamento médico, terapia de reposição hormonal"
Síndrome de Marfan,"Beta-bloqueadores, Inibidores da ECA","Exames regulares cardíacos, evitar exercícios extenuantes, suporte psicológico"
Síndrome de Prader-Willi,Hormônio do crescimento,"Monitoramento de peso, controle alimentar, apoio psicoterapêutico"
Sarampo,"Vitamina A, Antibióticos (em caso de infecção secundária)","Repouso, hidratação, prevenção com vacina"
Rubéola,Nenhum medicamento específico,"Repouso, prevenção com vacina"
Catapora,"Antibióticos (em caso de infecção secundária), Antivirais (aciclovir)","Repouso, controle da febre, evitar coceira"
Herpes Zóster,"Antivirais (aciclovir, valaciclovir), Analgésicos (paracetamol)","Repouso, cuidados com a pele, analgésicos"
Mononucleose,"Analgésicos (paracetamol), Corticoides (prednisona)","Repouso, hidratação, evitar atividades físicas intensas"
Epilepsia,"Antiepilépticos (fenitoína, carbamazepina)","Evitar gatilhos, monitoramento médico contínuo"
Parkinson,"Levodopa, Agonistas dopaminérgicos (ropinirol)","Fisioterapia, suporte psicológico, exercícios de coordenação"
Esclerose Múltipla,"Interferons, Corticoides, Anticorpos monoclonais (natalizumabe)","Fisioterapia, terapia ocupacional, acompanhamento neurológico"
Esclerose Lateral Amiotrófica (ELA),"Riluzol, Edaravona","Fisioterapia, suporte respiratório, cuidados paliativos"
Encefalite,"Antivirais (aciclovir), Corticoides","Repouso, monitoramento de sinais vitais, suporte respiratório"
Meninigite,"Antibióticos (ceftriaxona, vancomicina)","Repouso, controle da febre, monitoramento neurológico"
